SINCE_DATE,UNITIL_DATE,SPOTIFY_URL,TYPE_URL
APRIL,APRIL,https://open.spotify.com/playlist/3NFcFAeRil4fYS8aCBtoFT?si=wPnS_yhYTe23ew3Eu1zbpQ,playlist
APRIL,APRIL,https://track.adform.net/C/?bn=41279147%0A,other
APRIL,APRIL,https://open.spotify.com/track/3OVbqrPn0n8CF8VFzqBLU0?si=TAzZbNajTlqOpeLu7lvIkw,track
APRIL,APRIL,https://open.spotify.com/album/60IRlbKPEpYmIQCOQoaX4l?si=x4tuG_WRRUCzK1R_hOMR-w,album
APRIL,APRIL,https://open.spotify.com/track/7JSaztudhBzfGiudI1QMJl?si=cOKLaR2XQuq6UP2T5htdkQ,track
APRIL,APRIL,https://open.spotify.com/track/6YndZBGmLySgsVScckWkmO?si=BNZt0ASZQpOtgeIq_RZhYQ,track
APRIL,APRIL,https://open.spotify.com/playlist/7rb636ixXPwUEmjfOXy4Io?si=JCwmNy_KRa-IpfwNqnGfFw,playlist
APRIL,APRIL,https://open.spotify.com/track/75qGjFiVQjM3C4CsmLRamn?si=IAGPKXRpRO2LIC5vGyCcMQ,track
APRIL,APRIL,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP?si=_BRO2JfARPKmudogjE4XCQ,track
APRIL,APRIL,https://open.spotify.com/track/7gJtmLyPTwKzhGzMBXtuXH?si=pIqqRu7gTq6pgkxtOaRfYQ,track
APRIL,APRIL,https://open.spotify.com/track/6YndZBGmLySgsVScckWkmO?si=IfOUJ4YvQwaK6Xm2Ip6fpQ,track
APRIL,APRIL,https://open.spotify.com/track/3sS3OObqcUK7yzWyNgh83D?si=oifxcLdrTY2CgwSLI88mAg,track
APRIL,APRIL,https://open.spotify.com/episode/2cFhO7YyKQGC7YV4CP1Mc8?si=IyFhu-EHQEKnMhqo6a_7hQ,other
APRIL,APRIL,https://open.spotify.com/track/59wlTaYOL5tDUgXnbBQ3my?si=mcq1wXFzRpOg-RemQdcYPg,track
APRIL,APRIL,https://open.spotify.com/track/7xyYsOvq5Ec3P4fr6mM9fD?si=jh0YZsstRnqTgpmTJIWgLg,track
APRIL,APRIL,https://open.spotify.com/track/248wt1trbhwrNN5fBC3Q3W?si=Z9FXNWrQQriJGU-aEgObuw,track
APRIL,APRIL,https://open.spotify.com/track/7ADlvg3uIjCvItqeJPgDbu?si=tabeLxbST1elNFuMOKOroQ,track
APRIL,APRIL,https://open.spotify.com/track/563yuGweEqRVQtjfsDVRyK?si=7XrhsLFQSgCEZt50fTnnQQ,track
APRIL,APRIL,https://open.spotify.com/episode/7Edncw7FH94lRB0XyRE4rC?si=qF3JYTFQS-GVxbPCmJS3eA,other
APRIL,APRIL,https://open.spotify.com/track/6YndZBGmLySgsVScckWkmO?si=wDydxZHCSP6_FTO5iU9w5w,track
APRIL,APRIL,https://open.spotify.com/track/2EYdDoNEDs8OWqrDiB6RPS?si=-AastJHXRA6jORy72ALZaw,track
APRIL,APRIL,https://open.spotify.com/album/7EPPtrGoA1IReFyBBHYP8p,album
APRIL,APRIL,https://open.spotify.com/track/0trB3R0YBk3vGrGm5YSUTv,track
APRIL,APRIL,https://open.spotify.com/track/6NNIMyZri0m5Dkl1OWeV6m?si=m6atmTe1TI6-4Xwe7ahIVw,track
APRIL,APRIL,https://open.spotify.com/playlist/380EhwTb4iRiJ6UrPjhDz4?si=Kw4vd16qSEGfDId3Giz3DQ,playlist
APRIL,APRIL,https://open.spotify.com/episode/5Y4ZiDW797V9UisYF4vxuv?si=KXzUdfEgR72oIwXFm4mx9w,other
APRIL,APRIL,https://open.spotify.com/track/6SoG4deqVzrdW5TPHWgzww?si=lIt6xmaHT9icDFdZ5UdBdA,track
APRIL,APRIL,https://open.spotify.com/track/6v79fQifgBz164BIrWrKty?si=FfNQeQ7pQCWMsD3fvJfWNw,track
APRIL,APRIL,https://open.spotify.com/track/5f8WIB7zrVINJnwTtLhpfd?si=09tdf-1oS8yx9Z8SMaFDeg,track
APRIL,APRIL,https://open.spotify.com/track/4gmPl0wJbxePho1VXryW4Q?si=I6GZ2iqSRxS-RSgtJ_1hkQ,track
APRIL,APRIL,https://open.spotify.com/track/1U2yKTVqJASLKLSCzrwxi7?si=qBjgXVgOTlqPPDN3OksidQ,track
APRIL,APRIL,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK?si=nSTBW6BiQ4eCJr2ql9H6OA,track
APRIL,APRIL,https://open.spotify.com/track/0z9uBsiW2zoDFJ3Dy4IOfa,track
APRIL,APRIL,https://open.spotify.com/album/6T9ixN3sMb9CaxC9PmbsLb?si=D5-it9HUSPOr60e6qwXHsg,album
APRIL,APRIL,https://open.spotify.com/playlist/7yT0rzkxpEAMYqWfcZpzRA?si=KnFsTOScQjyuXttaVa8r2A,playlist
APRIL,APRIL,https://open.spotify.com/track/6P8TMUGjiSy9YvYUgRpe76?si=IsVSiimeQQOz3mtsmMr4OA,track
APRIL,APRIL,https://open.spotify.com/track/7cDzJyC95jtGO9zAeZsWOg?si=5eRWOV3aQF-Y6VuMDxBy2g,track
APRIL,APRIL,https://open.spotify.com/track/0P0GYCO7ixjOt32KtzLnS8?si=ajlcap0eRM61KzVcxPSD9w,track
APRIL,APRIL,https://open.spotify.com/track/4WRjqQ6sx5qIcddaIxNTfF?si=gTKtRv4eQkWLDFRqlCo2OA,track
APRIL,APRIL,https://open.spotify.com/track/2udH5GC1eOzzqcoJUyEC7y?si=Q213Kv4-Q-m9HaWZtl--GQ,track
APRIL,APRIL,https://open.spotify.com/track/1XX7qmxpxVj504Q6Iox4ac?si=Zr8k-6RXSy-IKEg6aiE20Q,track
APRIL,APRIL,https://open.spotify.com/track/3I0w0pdn5s2W44gGmBxsa0?si=dkcoia6zRAyLRhOmeIFCxQ,track
APRIL,APRIL,https://open.spotify.com/track/2GflWmANujk7PnmEcv5RbF?si=8EauLQnPQSWhHf8MD93zUg,track
APRIL,APRIL,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag?si=nFXGK8QVTgu2BEuB78TksQ,track
APRIL,APRIL,https://open.spotify.com/track/6dRhcpld5vzJ21gMAY7aZg?si=3wczHCBHRye2HejQEJAtww,track
APRIL,APRIL,https://open.spotify.com/album/0F9bpInUaHGru63OHqBuQ8?si=OtFINDk0QmGWyegAOf-rOg,album
APRIL,APRIL,https://open.spotify.com/playlist/1wozgpVMjzl8kECqocC5EP?si=oJ-cXrjjRgyV_z_4ijEMwA,playlist
APRIL,APRIL,https://open.spotify.com/track/0LAVuJuN8GUWSimXsr5CuX?si=7u9seiFdQRWF2kYfnJv73w,track
APRIL,APRIL,https://open.spotify.com/track/5CAztXp7af5FZR9Gbnnwk2?si=HpRyIfI8SB2nsPxuTMIkjw,track
APRIL,APRIL,https://tazoselmachips.com.br/?utm_source=Twitter&utm_medium=Ads&utm_campaign=PBF_BR_N_PEPSICO_ELMA-CHIPS_-_P_PAC-MAN_TW_-_POST_MARCA--RUFFLES_20_23.1_15.11&utm_content=PAC-MAN_CPI_TG_PAC-MAC_VIDEO_7-10S&utm_term=%0A,other
APRIL,APRIL,https://open.spotify.com/playlist/7ceNq4gGtbshMK0SYhW2sl?si=e-szTHMdTGGUpoqzHV8MwQ,playlist
APRIL,APRIL,https://open.spotify.com/album/3C84oVIF9JKUNFDaSbNzBl?si=LrejMOkHRWSE7_T5W_0gcg,album
APRIL,APRIL,https://open.spotify.com/track/5adedWrI997s6xuiexnZBx?si=YMucqw-LRjCVB4ssM6PAzg,track
APRIL,APRIL,https://open.spotify.com/episode/2rrjEVsjykJbjjniQ2jYW4?si=bALVykqATgmvsom8RisvCg,other
APRIL,APRIL,https://open.spotify.com/playlist/3ekqjtcpZmUprKixYzWnfA?si=FQJT-0cJTLS6b3071ZMW6Q,playlist
APRIL,APRIL,https://open.spotify.com/track/4Vx4NOaRvTj5XI6DzRzcCo?si=ln6Jnlu_QHSoCh-z2reN4A,track
APRIL,APRIL,https://open.spotify.com/album/1BdQWouNev422Pnyrse62b,album
APRIL,APRIL,https://open.spotify.com/track/5W1kqz2l1lDX77DXBMeXZg?si=pAhlVsjcQjOOUcxh2NSAhA,track
APRIL,APRIL,https://open.spotify.com/artist/2swOKl6YD3mMLs7UccGJCE?si=s0LqDv_8Qh22Gy4Cn88H3g,artist
APRIL,APRIL,https://open.spotify.com/episode/3WDw53w63cFJ2Qgt8Pb4t7?si=Hfd8-gqqQq2fdlJSG7xOsw,other
APRIL,APRIL,https://open.spotify.com/track/2bnxCjRqHCnFMcU9YfEGD8?si=VU0vcwy5StW3OjaLqUjFoQ,track
APRIL,APRIL,https://open.spotify.com/playlist/39T1q39Sy81juFVLAphzDb?si=CouKaRNGQ2iuPTWWNSSpKQ,playlist
APRIL,APRIL,https://open.spotify.com/episode/6DmvRUOKg5xMoiDhPX5F26?si=_ehLhpG8Tl6DGneDTZwZkA,other
APRIL,APRIL,https://open.spotify.com/track/0YJpogNVEaoFMrnsTDJkQO?si=qHIPu333SzG_t7hp5jU_6Q,track
APRIL,APRIL,https://open.spotify.com/track/6wKJ25xb5cZvkVZ7H1oFqi?si=KVmQ0PiUS9S3n96iB81rjw,track
APRIL,APRIL,https://open.spotify.com/track/4Op6B7yG5b12Bh9UH1PYJE?si=2LBgcaobRYquMvwmP6hcOg,track
APRIL,APRIL,https://open.spotify.com/track/5lKI9qLSJkWWJ6USwMu6jF?si=yPDX5_eyTAOjJXt4PA11rA,track
APRIL,APRIL,https://open.spotify.com/track/2VL5StiQKN8tNYSSDbjvIc?si=smeLzif3QwCSqgqMfF31iA,track
APRIL,APRIL,https://open.spotify.com/track/4m0q0xQ2BNl9SCAGKyfiGZ?si=jWY3ybXATRiKI2vixIwWDA,track
APRIL,APRIL,https://open.spotify.com/playlist/3Yt0LVcdSbqS48BTubrkVJ?si=DpvQEZyVR9yk2UVC8BDbxA,playlist
APRIL,APRIL,https://open.spotify.com/artist/3dA4s8pjI2aiUOGl2hAafP?si=CdcoHDmSRCWS9iEv1z__8Q,artist
APRIL,APRIL,https://open.spotify.com/track/4E2K9cfDrN9OGCd4LgFxeL?si=ZpVoET_pR1KorYmoAi_Pgg,track
APRIL,APRIL,https://open.spotify.com/track/6pNJjIQv5bt0ZpjSP0at93?si=fL4ljdNhSb2Qjs8VZ_kiKA,track
APRIL,APRIL,https://tazoselmachips.com.br/?utm_source=Twitter&utm_medium=Ads&utm_campaign=PBF_BR_N_PEPSICO_ELMA-CHIPS_-_P_PAC-MAN_TW_-_POST_MARCA--CHEETOS-2_20_23.1_15.11&utm_content=PAC-MAN_CPI_TG_PAC-MAN_VIDEO_7-10S&utm_term=%0A,other
APRIL,APRIL,https://open.spotify.com/playlist/3otKeh8entkuORZP6t28GV?si=nUV6smAbRvqgDDp1S-W90Q,playlist
APRIL,APRIL,https://open.spotify.com/track/3iYiV6IDYj8S9GKJPGNleq?si=QpHS1sPORkCWyqhE55Yd9g,track
APRIL,APRIL,https://open.spotify.com/track/3PsnTY9zoDlN3Z7am5nZLv?si=2Sx5BYzNTBeK3bsH7QJroQ,track
APRIL,APRIL,https://open.spotify.com/track/79BHjj4YkvbpOlMvG6wf3n?si=YCQYV6RiTk6gxRDlCg4mtw,track
